CODIGO_CUM	DESCRIPCION_MATERIAL
20103748-9	FLUTICASONA PROPIONATO
20122985-4	BACLOFENO
20147754-1	CANNABIDIOL
19955476-17	GLUCOSAMINA SULFATO SÓDICA 1884 MG. EQUIVALENTES AGLUCOSAMINA SULFATO
206776-14	LEVOTIROXINA SÓDICA
20096034-5	DIFENHIDRAMINA CLORHIDRATO
20087891-3	MOXIFLOXACINA CLORHIDRATO EQUIVALENTE A MOXIFLOXACINA BASE
19929219-4	DIFENHIDRAMINA CLORHIDRATO
20212627-1	LOTEPREDNOL ETABONATO ESTÉRIL
20144754-1	ACIDO ZOLENDRONICO MONOHIDRATO EQUIVALENTE A ACIDO ZOLENDRÓNICO
413155	NATURA SUR-FIT
401544	NATURA SUR-FIT
20086574-3	LOTEPREDNOL ETABONATO
20193662-1	IVABRADINA CLORHIDRATO 5.390 MG EQUIVALENTES A IVABRADINA
20148063-1	CARBIDOPA MONOHIDRATO EQUIVALENTE A CARBIDOPA ANHIDRA
20187695-1	KETOPROFENO
20162036-3	ACIDO TRANEXAMICO
30051-22	FENITOINA SODICA
20092728-2	BETAMETASONA 0.1% CREMA 20G
20123370-3	GUSELKUMAB
20096491-1	OXIMETAZOLINA HCL
20092728-7	BETAMETASONA VALERATO EQUIVALENTE A BETAMETASONA BASE
19973788-3	CLOTRIMAZOL
19918906-1	FUMARATO DE FORMOTEROL DIHIDRATADO
19971867-2	CLONIDINA CLORHIDRATO
20205955	 WIPRO-SM SOBRE 40G
20103113-7	LORATADINA
20016430-9	ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA
19951339-1	CROMOGLICATO DE SODIO
20080145-7	DONABELLA® 2 MG /0,035 MG
20052952-3	VITAMINA D3 TIPO 100 SD/S70 MGEQUIVALENTE A VITAMINA D3 (COLECALCIFEROL)
20059782-5	MEMANTINA CLORHIDRATO
202501	PREPARACION MAGISTRAL 
19940740-2	ACICLOVIR
55341-1	ESTRIOL
20011479-2	ZINC-OLICOL® SOLUCION ORAL SULFATO DE ZINC MONOHIDRATADO EQUIVALENTE A DE ZINC 200MG
91050062	PINZA CONVATEC SURFIT
19967929-1	DESLORATADINA
219368-7	ACICLOVIR
20054699-3	PENICILINA G BENZATINICA 2.0G EQUIVALENTE ABENCILPENICILINA BENZATÍNICA
218006-3	PENICILINA G EN FORMA DE PENICILINA BENZATINICA
20103393	 SONDA FOLEY 2 VIAS FR20 PRECISION CARE
L20028514	LANCETAS REACTIVAS PARA GLUCOMETRO MACH II
58452-1	CLOBETASOL17PROPIONATOEQUIVALENTEACLOBETASOLPROPIONATOANHIDRO
20087188-2	NEPAFENACO
20139622-1	LIDOCAINA
20203309	PROWHEY NEUMO
